,time,prophet_pred,arima_pred,values,precinct_number
127,2024-02-01,74.01779801864288,73.83375061305222,,7
128,2024-03-01,83.46064513834996,73.83775808307803,,7
129,2024-04-01,74.59378455831911,73.83945102715916,,7
130,2024-05-01,79.19492819599166,73.84016620647265,,7
131,2024-06-01,67.23751656616993,73.84046833189788,,7
108,2022-07-01,154.58504884333817,164.74885423529196,168.0,9
109,2022-08-01,185.39398689035735,159.91081638529218,273.0,9
110,2022-09-01,182.6897832327081,220.36285344688184,217.0,9
111,2022-10-01,192.01650898247172,192.7680030526677,229.0,9
112,2022-11-01,177.28364402050872,201.67563564007915,214.0,9
113,2022-12-01,150.7568332409816,195.5048830162848,169.0,9
114,2023-01-01,178.59728700886515,171.70424154584575,188.0,9
115,2023-02-01,161.15491336086532,182.6542466093665,202.0,9
116,2023-03-01,188.5349014408485,191.34607843732135,252.0,9
117,2023-04-01,171.61402662154077,220.81612133145848,161.0,9
118,2023-05-01,182.8114493312313,171.8564244619591,193.0,9
119,2023-06-01,161.23503782005636,189.59042289055373,179.0,9
120,2023-07-01,173.64360985781167,182.2780311412984,,9
121,2023-08-01,202.57032869879708,184.27835353687945,,9
122,2023-09-01,197.90733887679232,185.64594428677145,,9
123,2023-10-01,210.67719065345617,186.70020123754992,,9
124,2023-11-01,195.0266009200276,187.5992927713054,,9
125,2023-12-01,168.60002455895287,188.4215451427745,,9
126,2024-01-01,198.18336582491852,189.20574614317036,,9
127,2024-02-01,178.42527421665343,189.97110379861715,,9
128,2024-03-01,209.7327907168627,190.7271300781148,,9
129,2024-04-01,191.57029570991364,191.4785353852033,,9
130,2024-05-01,199.7022174055988,192.2276523495948,,9
131,2024-06-01,176.23520443677495,192.9756361082808,,9
108,2022-07-01,128.0703370586099,128.3783420759532,134.0,10
109,2022-08-01,158.17327798794494,131.7554121374929,150.0,10
110,2022-09-01,150.1122999672567,140.76093230159884,136.0,10
111,2022-10-01,165.98931288604166,132.88110215800614,158.0,10
112,2022-11-01,149.36424468567907,145.26369238365183,138.0,10
113,2022-12-01,112.47896944915588,134.0067921785194,78.0,10
114,2023-01-01,148.18620833472804,100.2360915631221,117.0,10
115,2023-02-01,141.8712887836275,122.18704696313034,123.0,10
